OBJECTID,STATE,COUNTY,TRACT,TRACT_NO,FIPS,tract_string,statename,countyname,Mean_UHI_2017,Mean_TWI_2014,Carbon_Lbs_Tract,Carbon_Lbs_Acre,Index_UHI_TWI,Shape__Area,Shape__Length
2,41,051,001202,12.02,41051001202,41051001202,Oregon,Multnomah County,1.57992411119171,7.45592680595704,6280444.20990134,27216.151596742,0.19543980762928,10051976.4541016,13183.4956160289
3,41,051,001301,13.01,41051001301,41051001301,Oregon,Multnomah County,2.3453200980661,8.10662982162421,4292183.14129043,23322.1372013829,1.0522783941062,8016738.51318359,11379.4328456645
4,41,051,001302,13.02,41051001302,41051001302,Oregon,Multnomah County,2.16954475457198,8.55698066610631,4307820.77256129,23002.9698048324,1.42807526461026,8157583.66992188,11432.8565876951
5,41,051,001400,14,41051001400,41051001400,Oregon,Multnomah County,3.04285659620622,8.33989014308577,5701294.06939528,18984.5396397885,1.48972160997478,13081609.5473633,16292.6932466658
6,41,051,001500,15,41051001500,41051001500,Oregon,Multnomah County,0.951921928475756,7.12017314841732,6288204.96220275,25947.3616325715,-0.318437133634476,10556532.9775391,13643.7987805419
7,41,051,001601,16.01,41051001601,41051001601,Oregon,Multnomah County,-0.199782202814174,7.1176566652566,32788792.710765,45070.683003548,-0.675441246817299,31689770.8295898,23029.3866851041
8,41,051,001602,16.02,41051001602,41051001602,Oregon,Multnomah County,3.81619624586636,10.6595533752797,7001642.95456304,17005.2564802494,3.94223980917647,17935132.546875,17382.41998826
9,41,051,001701,17.01,41051001701,41051001701,Oregon,Multnomah County,3.91271046157207,8.30926475457007,8023543.38246899,16037.5260002543,1.72830784509953,21792981.7368164,21581.6779068077
10,41,051,001702,17.02,41051001702,41051001702,Oregon,Multnomah County,3.43392844601981,8.82934084171576,5918196.54990681,17676.7055500473,2.07737260843298,14583973.6181641,19673.4901080652
11,41,051,001801,18.01,41051001801,41051001801,Oregon,Multnomah County,3.02971332500203,7.97043911251782,5450046.01007135,18873.0860392934,1.13298710645159,12578969.6977539,23861.1058214404
12,41,051,001802,18.02,41051001802,41051001802,Oregon,Multnomah County,1.47516486607027,7.26214405951069,6001820.0354392,22432.2080344617,-0.0218050101666841,11654637.1645508,17277.3469611503
13,41,051,001900,19,41051001900,41051001900,Oregon,Multnomah County,-0.034286382149237,7.09955957205369,17585253.6525071,39711.9757991708,-0.641762184000355,19289233.0644531,18862.2695647954
14,41,051,002000,20,41051002000,41051002000,Oregon,Multnomah County,2.89167703765793,7.55785647057175,7393851.38515979,20568.4947191997,0.696624315502954,15658711.3764648,18269.1024637385
15,41,051,002100,21,41051002100,41051002100,Oregon,Multnomah County,4.16885986587041,7.99613817038601,5675925.57877696,13198.8892016293,1.50825552600005,18732128.6191406,21977.2003606493
